transaction_id,user_id,date,category,amount,payment_method,merchant,description
txn_7521866,user_19,2024-08-11,Salary,4713.03,Credit Card,Local Grocery,Salary payment at Local Grocery
txn_5959747,user_15,2023-02-10,Transport,-230.33,Credit Card,Amazon,Transport payment at Amazon
txn_6650459,user_5,2024-10-19,Bonus,3932.74,Debit Card,School,Bonus payment at School
txn_4569253,user_14,2023-04-01,Dining,-496.51,Transfer,Local Grocery,Dining payment at Local Grocery
txn_7109758,user_11,2023-08-09,Transport,-12.24,Credit Card,Walmart,Transport payment at Walmart
txn_4164431,user_8,2023-08-19,Savings Transfer,-237.11,Credit Card,Electric Company,Savings Transfer payment at Electric Company
txn_8131067,user_8,2023-01-22,Groceries,-402.01,Credit Card,Amazon,Groceries payment at Amazon
txn_1302886,user_3,2023-08-30,Healthcare,-17.25,Credit Card,Landlord,Healthcare payment at Landlord
txn_2390969,user_12,2024-03-27,Dining,-159.31,Credit Card,Starbucks,Dining payment at Starbucks
txn_9284863,user_13,2023-03-27,Groceries,-237.29,Debit Card,Electric Company,Groceries payment at Electric Company
txn_5500373,user_8,2024-12-30,Education,-335.2,Credit Card,Uber,Education payment at Uber
txn_6424775,user_19,2023-11-28,Entertainment,-328.52,Debit Card,Hospital,Entertainment payment at Hospital
txn_8666597,user_7,2024-09-30,Groceries,-128.59,Debit Card,Hospital,Groceries payment at Hospital
txn_8808179,user_9,2024-08-10,Utilities,-240.57,Transfer,School,Utilities payment at School
txn_3378090,user_12,2023-08-19,Salary,3694.23,Debit Card,Electric Company,Salary payment at Electric Company
txn_8962587,user_20,2023-12-20,Education,-92.01,Transfer,Local Grocery,Education payment at Local Grocery
txn_7294766,user_8,2024-04-21,Utilities,-331.2,Credit Card,Uber,Utilities payment at Uber
txn_8626212,user_13,2024-12-08,Dining,-173.54,Credit Card,Electric Company,Dining payment at Electric Company
txn_2553181,user_12,2024-11-16,Savings Transfer,-195.47,Debit Card,School,Savings Transfer payment at School
txn_6553390,user_4,2023-04-22,Savings Transfer,-175.92,Credit Card,Netflix,Savings Transfer payment at Netflix
txn_5800724,user_3,2024-01-04,Savings Transfer,-35.92,Cash,Walmart,Savings Transfer payment at Walmart
txn_4754734,user_12,2023-06-24,Dining,-174.52,Cash,Walmart,Dining payment at Walmart
txn_1283815,user_13,2024-02-25,Groceries,-493.68,Transfer,Uber,Groceries payment at Uber
txn_4116218,user_17,2024-09-18,Education,-353.16,Credit Card,Amazon,Education payment at Amazon
txn_7967913,user_17,2023-03-04,Groceries,-302.12,Cash,Uber,Groceries payment at Uber
txn_3227938,user_5,2023-10-29,Entertainment,-236.82,Cash,Amazon,Entertainment payment at Amazon
txn_9525249,user_14,2023-08-13,Healthcare,-163.78,Transfer,Landlord,Healthcare payment at Landlord
txn_6645284,user_2,2023-08-16,Education,-51.25,Credit Card,Landlord,Education payment at Landlord
txn_4286548,user_8,2023-05-19,Groceries,-496.92,Credit Card,Landlord,Groceries payment at Landlord
txn_3935270,user_12,2024-11-13,Utilities,-314.47,Cash,Walmart,Utilities payment at Walmart
txn_2551053,user_1,2024-08-24,Healthcare,-324.3,Cash,Amazon,Healthcare payment at Amazon
